orgName,orgRefCode,generatedEmail
divorg-77gue,Z90VCJY,divorg-77gue-superuser@mailinator.com
divorg-0plw1,OMUETF3,divorg-0plw1-superuser@mailinator.com
divorg-kntk5,3STXQYD,divorg-kntk5-superuser@mailinator.com
divorg-7ijo8,QWJNJ2L,divorg-7ijo8-superuser@mailinator.com
divorg-ozrfd,T4M778W,divorg-ozrfd-superuser@mailinator.com
divorg-gmnq9,HL35QMQ,divorg-gmnq9-superuser@mailinator.com
divorg-wbzlo,QC22QZB,divorg-wbzlo-superuser@mailinator.com
divorg-2ipxo,HRH317P,divorg-2ipxo-superuser@mailinator.com
divorg-z8o9q,7U4YXEK,divorg-z8o9q-superuser@mailinator.com
divorg-2rxd9,6B6DGQF,divorg-2rxd9-superuser@mailinator.com
divorg-8gwb8,XVH7GWW,divorg-8gwb8-superuser@mailinator.com
divorg-vr9yy,PC2X484,divorg-vr9yy-superuser@mailinator.com
divorg-k0ncv,INGESOO,divorg-k0ncv-superuser@mailinator.com
divorg-wbu7x,4GFCY86,divorg-wbu7x-superuser@mailinator.com
divorg-kpmts,H49SX7Y,divorg-kpmts-superuser@mailinator.com
divorg-sco5l,SDK9YX5,divorg-sco5l-superuser@mailinator.com
divorg-amgwi,681OA3Q,divorg-amgwi-superuser@mailinator.com
divorg-pie8z,LA0I8ER,divorg-pie8z-superuser@mailinator.com
divorg-vssmt,CG0W5QP,divorg-vssmt-superuser@mailinator.com
divorg-pnnto,0DQ7DB1,divorg-pnnto-superuser@mailinator.com
divorg-502x3,OP5YGJM,divorg-502x3-superuser@mailinator.com
divorg-p1j22,ION3APT,divorg-p1j22-superuser@mailinator.com
